Kich ban,So nut bi xoa,Ty le nut bi xoa tren toan mang (%),Kich thuoc LCC,Ty le LCC/N_goc,So thanh phan lien thong,Chi so Phan manh F
A: Xoa Provincial Hub,0,0.0,7126,1.0,1,0.0
A: Xoa Provincial Hub,5,0.0701655907942745,7111,0.9978950322761717,10,0.002806779757293265
A: Xoa Provincial Hub,10,0.140331181588549,7106,0.997193376368229,10,0.002808750642401381
A: Xoa Provincial Hub,15,0.21049677238282347,7095,0.995649733370755,16,0.004495283846405074
A: Xoa Provincial Hub,17,0.23856300870053326,7092,0.9952287398259894,17,0.004777247416683061
B: Xoa Community Bridge,0,0.0,7126,1.0,1,0.0
B: Xoa Community Bridge,5,0.0701655907942745,7111,0.9978950322761717,11,0.0028068192038424034
B: Xoa Community Bridge,10,0.140331181588549,7091,0.9950884086444007,26,0.007014568734873161
B: Xoa Community Bridge,15,0.21049677238282347,7081,0.9936850968285152,31,0.008420424290648487
B: Xoa Community Bridge,17,0.23856300870053326,7078,0.9932641032837497,32,0.008702934520770866
